case_id,dice@0.5,precision@0.5,recall@0.5,hd95@0.5,cldice@0.5,topology_precision,topology_sensitivity,predicted_skeleton_voxels,ground_truth_skeleton_voxels,mask_path
1000,0.7841487639174053,0.7057904384146159,0.8820790145711281,2.26635812911667,0.896689029431023,0.8377777777777777,0.9645120405576679,900,789,outputs/final_test_250_phaseb_traceable_v14/case_outputs/1000/seg_mask_0.5.nii.gz
751,0.7646604461471915,0.7353299462221826,0.7964279967819791,8.464554426585313,0.8625976166172692,0.817738791423002,0.9126637554585153,1026,916,outputs/final_test_250_phaseb_traceable_v14/case_outputs/751/seg_mask_0.5.nii.gz
752,0.7582567580878938,0.6985583903754408,0.8291121711032466,8.947321050772443,0.8528463043779931,0.7607655502392344,0.9702868852459017,1254,976,outputs/final_test_250_phaseb_traceable_v14/case_outputs/752/seg_mask_0.5.nii.gz
753,0.7687141811204524,0.7405389629341376,0.7991181565272164,5.4766980404638055,0.9062682696383894,0.9351081530782029,0.879154078549849,601,662,outputs/final_test_250_phaseb_traceable_v14/case_outputs/753/seg_mask_0.5.nii.gz
754,0.8639282228652637,0.8505158114759626,0.8777704324832122,0.5,0.9480815447087098,0.9354838709677419,0.9610231425091352,775,821,outputs/final_test_250_phaseb_traceable_v14/case_outputs/754/seg_mask_0.5.nii.gz
755,0.7661699366964181,0.6754246100519931,0.8850835755813954,9.901787215270222,0.8436066905215597,0.7552204176334106,0.9554234769687965,862,673,outputs/final_test_250_phaseb_traceable_v14/case_outputs/755/seg_mask_0.5.nii.gz
756,0.7393484272770195,0.769720518702308,0.7112822287593009,3.041724412033762,0.8316498316498316,0.890625,0.78,640,750,outputs/final_test_250_phaseb_traceable_v14/case_outputs/756/seg_mask_0.5.nii.gz
757,0.8609104996929914,0.8273342886847059,0.8973272788224179,0.508232998977831,0.9616905919826176,0.9523281596452328,0.9712389380530974,902,904,outputs/final_test_250_phaseb_traceable_v14/case_outputs/757/seg_mask_0.5.nii.gz
758,0.8461103859416704,0.8441861369202659,0.8480434273217214,0.6045608111795392,0.9489529555078601,0.957002457002457,0.9410377358490566,814,848,outputs/final_test_250_phaseb_traceable_v14/case_outputs/758/seg_mask_0.5.nii.gz
759,0.7057681574413356,0.7889967988714666,0.6384230397752217,5.228718288618006,0.8305024790682445,0.9139414802065404,0.7610241820768137,581,703,outputs/final_test_250_phaseb_traceable_v14/case_outputs/759/seg_mask_0.5.nii.gz
760,0.7638670105248484,0.7505273250239693,0.7776894692023844,4.291416988085055,0.8675553324902345,0.8648111332007953,0.8703170028818443,1006,1041,outputs/final_test_250_phaseb_traceable_v14/case_outputs/760/seg_mask_0.5.nii.gz
761,0.7908047890567556,0.735244040862656,0.8554491700933458,4.966365217921775,0.886223096762605,0.8484573502722323,0.9275074478649454,1102,1007,outputs/final_test_250_phaseb_traceable_v14/case_outputs/761/seg_mask_0.5.nii.gz
762,0.7473259892020897,0.6502811122929646,0.8784167493414525,6.599301572893907,0.8404558404558405,0.75,0.9557235421166307,1152,926,outputs/final_test_250_phaseb_traceable_v14/case_outputs/762/seg_mask_0.5.nii.gz
763,0.7540661106647086,0.6485320751120007,0.9006221457409491,9.878289169883018,0.7960651662865886,0.6884328358208955,0.9435897435897436,1072,780,outputs/final_test_250_phaseb_traceable_v14/case_outputs/763/seg_mask_0.5.nii.gz
764,0.8543170275327453,0.8147123088128186,0.897969013406117,0.5,0.9598966644371515,0.9664929262844378,0.9533898305084746,1343,1416,outputs/final_test_250_phaseb_traceable_v14/case_outputs/764/seg_mask_0.5.nii.gz
765,0.7542865635043005,0.7332153562786666,0.7766046974217734,6.576994777731817,0.8750951241773237,0.8366164542294322,0.917283950617284,863,810,outputs/final_test_250_phaseb_traceable_v14/case_outputs/765/seg_mask_0.5.nii.gz
766,0.8061685636813015,0.8314606741573034,0.7823697447680557,5.6156692508124,0.8863929299583639,0.9332443257676902,0.8440207972270364,1498,1731,outputs/final_test_250_phaseb_traceable_v14/case_outputs/766/seg_mask_0.5.nii.gz
767,0.7135594632886074,0.74435992175614,0.685206674402785,5.714310838158107,0.8227230212881508,0.8142664872139973,0.8313570487483531,743,759,outputs/final_test_250_phaseb_traceable_v14/case_outputs/767/seg_mask_0.5.nii.gz
768,0.7978088782692089,0.8060235819620981,0.7897599279140117,1.6533177167913764,0.908105808750402,0.9408138101109741,0.8775956284153006,811,915,outputs/final_test_250_phaseb_traceable_v14/case_outputs/768/seg_mask_0.5.nii.gz
769,0.803306704820953,0.7577037462824582,0.8547504933746828,3.3207008045001305,0.8734938672113223,0.8512628624883068,0.896917148362235,1069,1038,outputs/final_test_250_phaseb_traceable_v14/case_outputs/769/seg_mask_0.5.nii.gz
770,0.8404643508746825,0.8627641798718348,0.8192882425764154,0.9613185220213173,0.931867523748944,0.9382978723404255,0.9255247122545701,1410,1477,outputs/final_test_250_phaseb_traceable_v14/case_outputs/770/seg_mask_0.5.nii.gz
771,0.8309197154471545,0.7925122675228691,0.8732394366197183,12.679774395216295,0.9033250282313717,0.8409638554216867,0.9756756756756757,830,740,outputs/final_test_250_phaseb_traceable_v14/case_outputs/771/seg_mask_0.5.nii.gz
772,0.7648750946252839,0.6704217045119434,0.8903074211866067,5.934064323990192,0.8208010456540006,0.7380952380952381,0.924380704041721,966,767,outputs/final_test_250_phaseb_traceable_v14/case_outputs/772/seg_mask_0.5.nii.gz
773,0.8351409978308026,0.8514357053682896,0.8194582718253287,0.9060079317061486,0.9470463032931797,0.9723889555822329,0.9229910714285714,833,896,outputs/final_test_250_phaseb_traceable_v14/case_outputs/773/seg_mask_0.5.nii.gz
774,0.8222945666816345,0.7613553684648166,0.8938377059182429,3.2962067274798166,0.875541129750565,0.8291770573566085,0.9273972602739726,802,730,outputs/final_test_250_phaseb_traceable_v14/case_outputs/774/seg_mask_0.5.nii.gz
775,0.7786529496865455,0.7740182958494787,0.7833434404689711,11.714829747863247,0.8786358133706326,0.9039881831610044,0.8546666666666667,677,750,outputs/final_test_250_phaseb_traceable_v14/case_outputs/775/seg_mask_0.5.nii.gz
776,0.7124364689047157,0.6513579355770098,0.7861550747785683,8.62853561096601,0.8193321047721123,0.7544731610337972,0.8963911525029103,1006,859,outputs/final_test_250_phaseb_traceable_v14/case_outputs/776/seg_mask_0.5.nii.gz
777,0.7937805651995371,0.8030440365586524,0.784728373191615,4.376231295906827,0.8818568052905973,0.8430913348946136,0.9243589743589744,854,780,outputs/final_test_250_phaseb_traceable_v14/case_outputs/777/seg_mask_0.5.nii.gz
778,0.7806077917956042,0.7198361015584985,0.852586879278967,8.723393959952375,0.8631195204012302,0.8288177339901478,0.9003831417624522,812,783,outputs/final_test_250_phaseb_traceable_v14/case_outputs/778/seg_mask_0.5.nii.gz
779,0.8023056416168312,0.7964409349698166,0.8082573601997561,3.5600534705100464,0.8867983466151377,0.8578154425612052,0.9178082191780822,1062,1022,outputs/final_test_250_phaseb_traceable_v14/case_outputs/779/seg_mask_0.5.nii.gz
780,0.7737688991438461,0.76742225327006,0.780221394984326,5.457388099575177,0.848592306899177,0.8145231846019247,0.8856358645928637,1143,1093,outputs/final_test_250_phaseb_traceable_v14/case_outputs/780/seg_mask_0.5.nii.gz
781,0.75735905538001,0.6927025896490094,0.8353281056541477,5.249129620058263,0.8420841266063779,0.7957244655581948,0.8941798941798942,842,756,outputs/final_test_250_phaseb_traceable_v14/case_outputs/781/seg_mask_0.5.nii.gz
782,0.7765456316639311,0.6875886189620947,0.8919407743478127,10.537654568837606,0.8237145194788847,0.7323187108325873,0.9411764705882353,1117,867,outputs/final_test_250_phaseb_traceable_v14/case_outputs/782/seg_mask_0.5.nii.gz
783,0.7710325047801148,0.7410697193613844,0.8035202789655029,2.225301177825431,0.8872888831325313,0.8564036222509702,0.9204851752021563,773,742,outputs/final_test_250_phaseb_traceable_v14/case_outputs/783/seg_mask_0.5.nii.gz
784,0.7872326622407716,0.7104328480543304,0.8826495975172146,4.76873092620106,0.8828977231926224,0.8237597911227154,0.9511834319526628,766,676,outputs/final_test_250_phaseb_traceable_v14/case_outputs/784/seg_mask_0.5.nii.gz
785,0.8230623619728679,0.7688491576207083,0.8855009334163036,0.6728338452402505,0.9266861088887333,0.9495145631067962,0.9049295774647887,515,568,outputs/final_test_250_phaseb_traceable_v14/case_outputs/785/seg_mask_0.5.nii.gz
786,0.8156133962365688,0.755006476038657,0.8867998127633016,1.6640076128586778,0.9149046644534916,0.8948035487959443,0.9359296482412061,789,796,outputs/final_test_250_phaseb_traceable_v14/case_outputs/786/seg_mask_0.5.nii.gz
787,0.7820545133763007,0.7464174026598852,0.8212651718531403,2.95576931874343,0.8716081419668279,0.871523178807947,0.8716931216931217,755,756,outputs/final_test_250_phaseb_traceable_v14/case_outputs/787/seg_mask_0.5.nii.gz
788,0.7919244804061558,0.7597990714666261,0.826886440818355,3.8335545241077034,0.8863068337012466,0.8475021910604733,0.9288354898336414,1141,1082,outputs/final_test_250_phaseb_traceable_v14/case_outputs/788/seg_mask_0.5.nii.gz
789,0.8523900516968108,0.844149747682197,0.8607928197456993,0.7208698359013921,0.949627754860552,0.9155701754385965,0.9863169897377423,912,877,outputs/final_test_250_phaseb_traceable_v14/case_outputs/789/seg_mask_0.5.nii.gz
790,0.8014239549311352,0.760536586965791,0.8469574110599751,6.959386445110145,0.885794519142506,0.8294979079497908,0.9502890173410404,956,865,outputs/final_test_250_phaseb_traceable_v14/case_outputs/790/seg_mask_0.5.nii.gz
