case_id,plain_dice@0.5,attention_dice@0.5,difference_dice@0.5,plain_cldice@0.5,attention_cldice@0.5,difference_cldice@0.5,plain_precision@0.5,attention_precision@0.5,difference_precision@0.5,plain_recall@0.5,attention_recall@0.5,difference_recall@0.5,plain_hd95@0.5,attention_hd95@0.5,difference_hd95@0.5
1000,0.7718426904286573,0.7841487639174053,0.012306073488748015,0.8825337431511426,0.896689029431023,0.014155286279880386,0.6796729840208101,0.7057904384146159,0.02611745439380575,0.8929322517650593,0.8820790145711281,-0.010853237193931164,2.2617373029247685,2.26635812911667,0.004620826191901628
751,0.748709336318965,0.7646604461471915,0.015951109828226562,0.8675463986075528,0.8625976166172692,-0.0049487819902835906,0.7244004453404749,0.7353299462221826,0.010929500881707743,0.7747063555913113,0.7964279967819791,0.021721641190667773,5.823223054465179,8.464554426585313,2.641331372120134
752,0.7603049413968189,0.7582567580878938,-0.002048183308925089,0.8656306310790766,0.8528463043779931,-0.012784326701083426,0.7247670590860905,0.6985583903754408,-0.026208668710649752,0.7995076165563932,0.8291121711032466,0.0296045545468534,7.17817584643875,8.947321050772443,1.769145204333693
753,0.7583210639376312,0.7687141811204524,0.01039311718282121,0.9161756493395484,0.9062682696383894,-0.00990737970115907,0.7019213583556747,0.7405389629341376,0.03861760457846286,0.8245761377355519,0.7991181565272164,-0.025457981208335534,3.6470304140580527,5.4766980404638055,1.8296676264057528
754,0.8443397836251323,0.8639282228652637,0.019588439240131428,0.9397081066345223,0.9480815447087098,0.008373438074187445,0.8285054083922173,0.8505158114759626,0.022010403083745245,0.8607912042030549,0.8777704324832122,0.0169792282801573,0.6594653605516958,0.5,-0.1594653605516958
755,0.7680246395072099,0.7661699366964181,-0.0018547028107918084,0.8493164234558094,0.8436066905215597,-0.0057097329342497005,0.6861175629801679,0.6754246100519931,-0.010692952928174848,0.8721384447674418,0.8850835755813954,0.012945130813953543,9.254137797332659,9.901787215270222,0.6476494179375631
756,0.7260954812822032,0.7393484272770195,0.013252945994816301,0.8185704798273286,0.8316498316498316,0.013079351822503082,0.7675696519811048,0.769720518702308,0.0021508667212031263,0.6888735075272538,0.7112822287593009,0.02240872123204707,5.080459574539039,3.041724412033762,-2.0387351625052768
757,0.8427983077914437,0.8609104996929914,0.01811219190154767,0.931825007146036,0.9616905919826176,0.029865584836581638,0.779871931143546,0.8273342886847059,0.047462357541159905,0.9167707920641209,0.8973272788224179,-0.019443513241703014,0.946441732556738,0.508232998977831,-0.438208733578907
758,0.8173098289015629,0.8461103859416704,0.028800557040107533,0.9177329924240187,0.9489529555078601,0.03121996308384134,0.7771321924079161,0.8441861369202659,0.0670539445123498,0.8618683121143482,0.8480434273217214,-0.01382488479262678,1.5198274534568883,0.6045608111795392,-0.9152666422773491
759,0.6988450187074434,0.7057681574413356,0.006923138733892165,0.8354895269912732,0.8305024790682445,-0.004987047923028731,0.7424085320693231,0.7889967988714666,0.04658826680214345,0.6601106330669945,0.6384230397752217,-0.021687593291772722,7.971270572961073,5.228718288618006,-2.742552284343067
760,0.7497500202686269,0.7638670105248484,0.014116990256221484,0.8311597663568568,0.8675553324902345,0.03639556613337769,0.7154683309263462,0.7505273250239693,0.03505899409762314,0.787482259437979,0.7776894692023844,-0.00979279023559465,5.8517658926600955,4.291416988085055,-1.560348904575041
761,0.7937584803256446,0.7908047890567556,-0.0029536912688890027,0.8981779757221167,0.886223096762605,-0.011954878959511639,0.7501001736342995,0.735244040862656,-0.014856132771643438,0.8428129783593961,0.8554491700933458,0.012636191733949698,3.0914211563009335,4.966365217921775,1.874944061620842
762,0.7246898702771674,0.7473259892020897,0.022636118924922344,0.8313300678516157,0.8404558404558405,0.009125772604224869,0.618777842339725,0.6502811122929646,0.0315032699532396,0.8743457288495091,0.8784167493414525,0.004071020491943411,7.655011032010051,6.599301572893907,-1.0557094591161436
763,0.7420125039678706,0.7540661106647086,0.012053606696838082,0.7722011272185453,0.7960651662865886,0.023864039068043352,0.6364260517531192,0.6485320751120007,0.012106023358881557,0.8896022238400954,0.9006221457409491,0.011019921900853769,11.97153333490609,9.878289169883018,-2.093244165023071
764,0.8463253332338373,0.8543170275327453,0.007991694298908003,0.9602830970798829,0.9598966644371515,-0.00038643264273141575,0.79063768974712,0.8147123088128186,0.024074619065698633,0.9104519547242514,0.897969013406117,-0.012482941318134433,0.5,0.5,0.0
765,0.7287481951273006,0.7542865635043005,0.025538368376999854,0.8688721681524495,0.8750951241773237,0.0062229560248742155,0.6977704665569984,0.7332153562786666,0.03544488972166826,0.7626042383903298,0.7766046974217734,0.014000459031443646,7.660725009760592,6.576994777731817,-1.083730232028775
766,0.7956253417701742,0.8061685636813015,0.010543221911127332,0.8799973714949579,0.8863929299583639,0.006395558463406004,0.8007170036793609,0.8314606741573034,0.030743670477942464,0.7905980252126933,0.7823697447680557,-0.008228280444637637,6.435407720803373,5.6156692508124,-0.8197384699909733
767,0.709335541295798,0.7135594632886074,0.00422392199280941,0.8501450537518873,0.8227230212881508,-0.027422032463736534,0.7347656417513615,0.74435992175614,0.009594280004778466,0.6856068184546437,0.685206674402785,-0.0004001440518586197,4.114922718688144,5.714310838158107,1.599388119469963
768,0.7893887112602488,0.7978088782692089,0.008420167008960089,0.9075668210915868,0.908105808750402,0.0005389876588152154,0.7767256416645901,0.8060235819620981,0.029297940297507985,0.802471519598378,0.7897599279140117,-0.012711591684366308,2.887419594354327,1.6533177167913764,-1.2341018775629506
769,0.7892867750558519,0.803306704820953,0.014019929765101136,0.8836456596823875,0.8734938672113223,-0.010151792471065235,0.7281911978459266,0.7577037462824582,0.029512548436531616,0.8615731604172541,0.8547504933746828,-0.006822667042571284,3.122514881010002,3.3207008045001305,0.19818592349012842
770,0.8180249911006855,0.8404643508746825,0.022439359773997025,0.908041917005912,0.931867523748944,0.023825606743032024,0.858316733067729,0.8627641798718348,0.0044474468041058035,0.781346445572004,0.8192882425764154,0.03794179700441147,1.716546883462552,0.9613185220213173,-0.7552283614412346
771,0.8231311795453115,0.8309197154471545,0.00778853590184303,0.9052479701443876,0.9033250282313717,-0.0019229419130158965,0.7790725397866126,0.7925122675228691,0.013439727736256457,0.8724717976103064,0.8732394366197183,0.0007676390094119023,3.44716813504786,12.679774395216295,9.232606260168435
