epoch,train_loss,val_loss,train_dice,val_dice_0_5,val_dice_0_1,val_soft_dice,prob_mean,lr,proj_val_soft_dice,val_soft_dice_plot,proj_train_dice,train_dice_plot,proj_train_loss,train_loss_plot,proj_val_loss,val_loss_plot
33,,,,,,,,,0.7972741318989474,0.7972741318989474,0.7766001350003753,0.7766001350003753,0.11697992547979283,0.11697992547979283,0.10161982611951671,0.10161982611951671
34,,,,,,,,,0.7995944892608591,0.7995944892608591,0.7778501462503788,0.7778501462503788,0.11628991926979088,0.11628991926979088,0.1000098116295122,0.1000098116295122
35,,,,,,,,,0.8018422522950703,0.8018422522950703,0.7791001562503882,0.7791001562503882,0.11559991374978575,0.11559991374978575,0.09839979874950022,0.09839979874950022
36,,,,,,,,,0.8040196921760566,0.8040196921760566,0.7803501650004032,0.7803501650004032,0.11490990891977743,0.11490990891977743,0.09678978747948082,0.09678978747948082
37,,,,,,,,,0.8061290090226936,0.8061290090226936,0.7816001725002854,0.7816001725002854,0.11421990477984251,0.11421990477984251,0.09517977781963272,0.09517977781963272
38,,,,,,,,,0.808172334121291,0.808172334121291,0.7828501787503119,0.7828501787503119,0.1135299013298278,0.1135299013298278,0.09356976976959844,0.09356976976959844
39,,,,,,,,,0.8101517320790776,0.8101517320790776,0.7841001837502056,0.7841001837502056,0.11283989856988652,0.11283989856988652,0.09195976332973545,0.09195976332973545
40,,,,,,,,,0.8120692029103123,0.8120692029103123,0.785350187500105,0.785350187500105,0.11214989649994206,0.11214989649994206,0.09034975849986503,0.09034975849986503
41,,,,,,,,,0.8139266840571286,0.8139266840571286,0.786600190000149,0.786600190000149,0.11145989511991779,0.11145989511991779,0.08873975527980842,0.08873975527980842
42,,,,,,,,,0.8157260523471571,0.8157260523471571,0.78785019125006,0.78785019125006,0.11076989442996693,0.11076989442996693,0.08712975366992311,0.08712975366992311
43,,,,,,,,,0.8174691258899005,0.8174691258899005,0.7891001912499767,0.7891001912499767,0.1100798944300129,0.1100798944300129,0.08551975367003037,0.08551975367003037
44,,,,,,,,,0.8191576659137795,0.8191576659137795,0.7903501899998993,0.7903501899998993,0.10938989512005566,0.10938989512005566,0.08390975528013017,0.08390975528013017
45,,,,,,,,,0.8207933785457053,0.8207933785457053,0.7916001874998275,0.7916001874998275,0.10869989650009525,0.10869989650009525,0.08229975850022254,0.08229975850022254
46,,,,,,,,,0.8223779165349772,0.8223779165349772,0.7928501837497616,0.7928501837497616,0.10800989857013163,0.10800989857013163,0.08068976333030747,0.08068976333030747
47,,,,,,,,,0.8239128809232446,0.8239128809232446,0.7941001787497014,0.7941001787497014,0.10731990133016484,0.10731990133016484,0.07907976977038497,0.07907976977038497
48,,,,,,,,,0.8253998226622254,0.8253998226622254,0.7953501724996471,0.7953501724996471,0.10662990478019485,0.10662990478019485,0.077469777820455,0.077469777820455
49,,,,,,,,,0.8268402441808115,0.8268402441808115,0.7966001649995985,0.7966001649995985,0.10593990892022168,0.10593990892022168,0.07585978748051761,0.07585978748051761
50,,,,,,,,,0.8282356009031452,0.8282356009031452,0.7978501562495557,0.7978501562495557,0.10524991375024531,0.10524991375024531,0.07424979875057278,0.07424979875057278
51,,,,,,,,,0.8295873027192033,0.8295873027192033,0.7991001462495186,0.7991001462495186,0.10455991927026576,0.10455991927026576,0.0726398116306205,0.0726398116306205
52,,,,,,,,,0.8308967154093713,0.8308967154093713,0.8003501349994874,0.8003501349994874,0.10386992548028301,0.10386992548028301,0.07102982612066078,0.07102982612066078
53,,,,,,,,,0.8321651620244486,0.8321651620244486,0.8016001224996007,0.8016001224996007,0.10317993238022047,0.10317993238022047,0.06941984222051487,0.06941984222051487
54,,,,,,,,,0.83339392422248,0.83339392422248,0.802850108749581,0.802850108749581,0.10248993997023136,0.10248993997023136,0.06780985993054026,0.06780985993054026
55,,,,,,,,,0.8345842435637627,0.8345842435637627,0.804100093749567,0.804100093749567,0.10179994825023904,0.10179994825023904,0.06619987925055822,0.06619987925055822
56,,,,,,,,,0.8357373227653379,0.8357373227653379,0.8053500774995589,0.8053500774995589,0.10110995722024355,0.10110995722024355,0.06458990018056873,0.06458990018056873
57,,,,,,,,,0.8368543269162342,0.8368543269162342,0.8066000599996953,0.8066000599996953,0.10041996688016824,0.10041996688016824,0.06297992272039306,0.06297992272039306
58,,,,,,,,,0.8379363846546926,0.8379363846546926,0.8078500412496987,0.8078500412496987,0.09972997723016637,0.09972997723016637,0.06136994687038869,0.06136994687038869
59,,,,,,,,,0.8389845893085589,0.8389845893085589,0.8091000212498467,0.8091000212498467,0.09903998827008469,0.09903998827008469,0.05975997263019814,0.05975997263019814
60,,,,,,,,,0.84,0.84,0.8103500000000005,0.8103500000000005,0.09834999999999983,0.09834999999999983,0.05815000000000013,0.05815000000000013
