case_id,variant_id,category,selection_rule,panel_slices,panel_meshes,components_original,components_corrected,dice_original,dice_corrected,cldice_original,cldice_corrected,hd95_original,hd95_corrected,mesh_integrity_pass_original,mesh_integrity_pass_corrected,symmetric_mean_surface_distance_mm,chamfer_mm,hausdorff_mm,centroid_displacement_mm
984,s1_absolute_volume__mm3_5,high_dice_high_fragmentation,highest original component count among cases with original Dice above the cohort median,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/high_dice_high_fragmentation/984__s1_absolute_volume__mm3_5_slices.png,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/high_dice_high_fragmentation/984__s1_absolute_volume__mm3_5_meshes.png,31.0,13.0,0.8261479144759902,0.8270906018914709,0.8911945418123274,0.8971714860796658,4.24264085570668,6.177378330059151,1.0,1.0,0.0976395443332652,0.1947351783656516,37.04970554744669,0.4375588350838307
977,s1_absolute_volume__mm3_5,moderate_dice_good_topology,original components <= 2 and original Dice closest to the cohort median,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/moderate_dice_good_topology/977__s1_absolute_volume__mm3_5_slices.png,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/moderate_dice_good_topology/977__s1_absolute_volume__mm3_5_meshes.png,2.0,2.0,0.8475218978674063,0.8475218978674063,0.9524873757019392,0.9524873757019392,1.0392305258366357,1.0392305258366357,1.0,1.0,1.2035955854146487e-14,2.4071911708292974e-14,2.382173337059642e-13,0.0
798,s1_absolute_volume__mm3_5,largest_component_reduction,largest reduction in component count (original - corrected),/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/largest_component_reduction/798__s1_absolute_volume__mm3_5_slices.png,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/largest_component_reduction/798__s1_absolute_volume__mm3_5_meshes.png,44.0,25.0,0.6638508442291169,0.6647868050300121,0.7642616780277204,0.7733704391684452,19.617340048649204,21.343055545600222,0.0,0.0,0.0575688152947905,0.114861074259661,34.83618815306004,0.5162262956893411
792,s1_absolute_volume__mm3_5,no_improvement,"zero change in component count, tie-broken by highest original component count",/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/no_improvement/792__s1_absolute_volume__mm3_5_slices.png,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/no_improvement/792__s1_absolute_volume__mm3_5_meshes.png,11.0,11.0,0.8148014657295609,0.8148014657295609,0.8918553754075662,0.8918553754075662,3.4204252047246038,3.4204252047246038,1.0,1.0,1.7923101326315218e-15,3.5846202652630435e-15,3.2561158711216654e-14,0.0
759,s1_absolute_volume__mm3_5,largest_fidelity_loss,"largest decrease in Dice (corrected - original), i.e. the worst anatomical cost",/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/largest_fidelity_loss/759__s1_absolute_volume__mm3_5_slices.png,/sessions/rcw-01ydt1j37pkddfcdj1eenugm/mnt/Automated_Cardiovascular_Segmentation_for_Bioprinting_Project/outputs/topology_correction/failure_analysis/largest_fidelity_loss/759__s1_absolute_volume__mm3_5_meshes.png,9.0,4.0,0.7057681574413356,0.7048164970488936,0.8305024790682445,0.8253489091498707,9.448809824276127,11.676883601239728,1.0,1.0,0.0166635587198753,0.0332948602624554,14.4124950875436,0.3037820319798421
