metric,n,mean,std,median,ci95_low,ci95_high,min,max
Dice@0.5,250,0.7722541005354988,0.04999168568367724,0.7819014839029923,0.7660570669748981,0.7784511340960996,0.6036789297658863,0.8664480721826892
clDice@0.5,250,0.8589966857266199,0.0585542180848781,0.867736342587631,0.8517382296528891,0.8662551418003507,0.5918117647058824,0.9612811859239925
Precision@0.5,250,0.7342920316369734,0.07324106625909013,0.7428820879689207,0.7252129750015626,0.7433710882723843,0.5073919833420094,0.9108400320672546
Recall@0.5,250,0.8231589274960076,0.07056256389068785,0.8332377120221555,0.8144119014541271,0.8319059535378881,0.5868647083946282,0.9661970090223705
HD95@0.5 (mm),250,6.158582270004056,6.38010933731384,4.28847809538459,5.3676957227127415,6.94946881729537,0.5,47.03697914978614
