metric,difference_definition,n,mean_paired_difference,median_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_resamples,bootstrap_seed,wilcoxon_p,fdr_bh_q
Dice@0.5,Attention - Plain,250,0.01550505238928374,0.013756243714945937,0.013155822837971298,0.018008265604831503,10000,42,2.944452348390389e-28,1.4722261741951947e-27
clDice@0.5,Attention - Plain,250,0.010526115716698045,0.008933449858540443,0.007119356847155991,0.014127138236132552,10000,42,3.60185559980442e-08,6.0030926663407e-08
Precision@0.5,Attention - Plain,250,0.029356461186793907,0.028985408573593996,0.024990167201149643,0.033736116106743784,10000,42,5.140628597105142e-27,1.2851571492762856e-26
Recall@0.5,Attention - Plain,250,-0.0026551333800224164,-0.0014355983393393168,-0.005764581236510833,0.00044169160827361374,10000,42,0.3319054114420401,0.3319054114420401
HD95@0.5 (mm),Attention - Plain,250,-1.1465571858672785,-0.4382133770551014,-1.8435857041675239,-0.5365516623825916,10000,42,2.241159334778918e-05,2.8014491684736474e-05
