case_id,occurrences,metrics_identical_except_runtime,first_runtime_seconds,second_runtime_seconds,extra_case,missing_case,interpretation
1000,2,true,69.843,68.895,false,false,repeated_evaluation_output
751,2,true,36.748,34.635,false,false,repeated_evaluation_output
